dog,sex,type_sti,group,trial,sequence,spp_sti,sex_sti,side_con,time_le,time_ri,val_con,matching,condit,index,control,positive,negative,valence
15,male,plain,HG,14,153,dog,female,left,20,0,negative,1,test,0.869565217,0.869565217,0,20,-0.869565217
15,male,plain,HG,15,154,dog,female,right,4,4,negative,0,test,0,0,4,4,0
15,male,plain,HG,16,155,dog,male,right,0,5,positive,1,test,0.208333333,-0.208333333,5,0,0.208333333
15,male,plain,HG,17,156,dog,male,right,0,22,negative,1,test,0.846153846,-0.846153846,0,22,-0.846153846
15,male,plain,HG,18,157,dog,female,left,12,7,positive,1,test,0.2,0.2,12,7,0.2
15,male,plain,HG,19,158,dog,female,right,6,0,positive,0,test,-0.4,0.4,0,6,-0.4
15,male,plain,HG,20,159,dog,male,left,5,0,negative,1,test,0.217391304,0.217391304,0,5,-0.217391304
16,female,mirrored,HG,1,160,human,female,left,10,11,negative,0,test,-0.045454545,-0.045454545,11,10,0.045454545
16,female,mirrored,HG,2,161,human,male,left,8,16,positive,0,test,-0.307692308,-0.307692308,8,16,-0.307692308
16,female,mirrored,HG,3,162,human,male,,16,8,control,,control,,0.307692308,16,8,0.307692308
16,female,mirrored,HG,4,163,human,female,right,1,10,positive,1,test,0.36,-0.36,10,1,0.36
16,female,mirrored,HG,5,164,human,male,right,4,8,positive,1,test,0.166666667,-0.166666667,8,4,0.166666667
16,female,mirrored,HG,6,165,human,female,left,17,0,positive,1,test,0.708333333,0.708333333,17,0,0.708333333
16,female,mirrored,HG,7,166,human,female,right,8,17,negative,1,test,0.36,-0.36,8,17,-0.36
16,female,mirrored,HG,8,167,human,male,left,20,6,negative,1,test,0.538461538,0.538461538,6,20,-0.538461538
16,female,mirrored,HG,9,168,human,male,right,1,11,negative,1,test,0.4,-0.4,1,11,-0.4
16,female,mirrored,HG,10,169,human,female,,0,1,control,,control,,-0.111111111,0,1,-0.111111111
16,female,mirrored,HG,11,170,dog,male,,24,0,control,,control,,0.96,24,0,0.96
16,female,mirrored,HG,12,171,dog,female,right,0,11,positive,1,test,0.423076923,-0.423076923,11,0,0.423076923
16,female,mirrored,HG,13,172,dog,male,left,7,0,negative,1,test,0.269230769,0.269230769,0,7,-0.269230769
16,female,mirrored,HG,14,173,dog,female,right,0,8,negative,1,test,0.307692308,-0.307692308,0,8,-0.307692308
16,female,mirrored,HG,15,174,dog,female,left,7,2,negative,1,test,0.192307692,0.192307692,2,7,-0.192307692
16,female,mirrored,HG,16,175,dog,male,left,14,2,positive,1,test,0.461538462,0.461538462,14,2,0.461538462
16,female,mirrored,HG,17,176,dog,male,right,6,1,negative,0,test,-0.2,0.2,6,1,0.2
16,female,mirrored,HG,18,177,dog,female,,0,18,control,,control,,-0.72,0,18,-0.72
16,female,mirrored,HG,19,178,dog,female,left,2,9,positive,0,test,-0.28,-0.28,2,9,-0.28
16,female,mirrored,HG,20,179,dog,male,right,4,10,positive,1,test,0.24,-0.24,10,4,0.24
17,male,plain,DG,11,180,human,female,left,0,17,positive,0,test,-0.68,-0.68,0,17,-0.68
17,male,plain,DG,12,181,human,male,left,5,7,negative,0,test,-0.125,-0.125,7,5,0.125
17,male,plain,DG,13,182,human,female,,5,5,control,,control,,0,5,5,0
17,male,plain,DG,15,183,human,female,right,6,12,negative,1,test,0.24,-0.24,6,12,-0.24
17,male,plain,DG,16,184,human,male,,1,7,control,,control,,-0.461538462,7,1,0.461538462
17,male,plain,DG,17,185,human,female,right,0,11,positive,1,test,0.55,-0.55,11,0,0.55
17,male,plain,DG,18,186,human,male,left,8,5,positive,1,test,0.2,0.2,8,5,0.2
17,male,plain,DG,20,187,human,male,right,1,7,negative,1,test,0.285714286,-0.285714286,1,7,-0.285714286
18,female,mirrored,DG,1,188,dog,male,right,0,25,positive,1,test,1,-1,25,0,1
18,female,mirrored,DG,2,189,dog,female,,4,17,control,,control,,-0.5,4,17,-0.5
18,female,mirrored,DG,3,190,dog,female,left,14,1,negative,1,test,0.866666667,0.866666667,1,14,-0.866666667
18,female,mirrored,DG,6,192,dog,female,right,2,11,negative,1,test,0.692307692,-0.692307692,2,11,-0.692307692
18,female,mirrored,DG,8,193,dog,female,right,4,11,positive,1,test,0.466666667,-0.466666667,11,4,0.466666667
18,female,mirrored,DG,9,194,dog,male,,0,9,control,,control,,-1,0,9,-1
18,female,mirrored,DG,10,195,dog,female,left,0,6,positive,0,test,-0.461538462,-0.461538462,0,6,-0.461538462
19,female,mirrored,DG,3,198,dog,female,left,17,9,negative,1,test,0.307692308,0.307692308,9,17,-0.307692308
19,female,mirrored,DG,4,199,dog,male,,5,5,control,,control,,0,5,5,0
19,female,mirrored,DG,5,200,dog,female,,0,0,control,,control,,0,0,0,0
19,female,mirrored,DG,6,201,dog,male,left,6,17,positive,0,test,-0.44,-0.44,6,17,-0.44
19,female,mirrored,DG,7,202,dog,female,right,6,19,negative,1,test,0.52,-0.52,6,19,-0.52
19,female,mirrored,DG,8,203,dog,male,right,6,17,positive,1,test,0.47826087,-0.47826087,17,6,0.47826087
19,female,mirrored,DG,9,204,dog,male,left,13,7,negative,1,test,0.285714286,0.285714286,7,13,-0.285714286
19,female,mirrored,DG,10,205,dog,female,right,6,19,positive,1,test,0.52,-0.52,19,6,0.52
19,female,mirrored,DG,11,206,human,female,right,2,12,negative,1,test,0.4,-0.4,2,12,-0.4
19,female,mirrored,DG,12,207,human,male,right,0,13,positive,1,test,0.52,-0.52,13,0,0.52
19,female,mirrored,DG,13,208,human,female,left,2,0,negative,1,test,0.08,0.08,0,2,-0.08
19,female,mirrored,DG,14,209,human,male,,15,6,control,,control,,0.36,6,15,-0.36
19,female,mirrored,DG,16,211,human,female,,9,11,control,,control,,-0.076923077,11,9,0.076923077
19,female,mirrored,DG,17,212,human,male,left,10,2,negative,1,test,0.32,0.32,2,10,-0.32
19,female,mirrored,DG,18,213,human,female,right,5,9,positive,1,test,0.16,-0.16,9,5,0.16
19,female,mirrored,DG,19,214,human,female,left,2,0,positive,1,test,0.08,0.08,2,0,0.08
19,female,mirrored,DG,20,215,human,male,right,0,15,negative,1,test,0.6,-0.6,0,15,-0.6
20,male,plain,DG,1,216,dog,male,,24,0,control,,control,,0.96,24,0,0.96
20,male,plain,DG,2,217,dog,female,left,14,9,negative,1,test,0.192307692,0.192307692,9,14,-0.192307692
20,male,plain,DG,3,218,dog,male,right,4,0,positive,0,test,-0.16,0.16,0,4,-0.16
20,male,plain,DG,4,219,dog,female,right,10,7,negative,0,test,-0.12,0.12,10,7,0.12
20,male,plain,DG,5,220,dog,female,right,4,15,positive,1,test,0.44,-0.44,15,4,0.44
20,male,plain,DG,6,221,dog,male,left,18,3,negative,1,test,0.6,0.6,3,18,-0.6
20,male,plain,DG,7,222,dog,male,left,6,2,positive,1,test,0.16,0.16,6,2,0.16
20,male,plain,DG,8,223,dog,female,,1,1,control,,control,,0,1,1,0
20,male,plain,DG,9,224,dog,male,right,1,17,negative,1,test,0.615384615,-0.615384615,1,17,-0.615384615
20,male,plain,DG,10,225,dog,female,left,17,6,positive,1,test,0.47826087,0.47826087,17,6,0.47826087
20,male,plain,DG,11,226,human,female,left,18,0,negative,1,test,0.72,0.72,0,18,-0.72
20,male,plain,DG,12,227,human,male,,3,16,control,,control,,-0.5,3,16,-0.5
20,male,plain,DG,13,228,human,female,left,16,9,positive,1,test,0.269230769,0.269230769,16,9,0.269230769
20,male,plain,DG,14,229,human,male,right,20,1,negative,0,test,-0.863636364,0.863636364,20,1,0.863636364
20,male,plain,DG,16,230,human,male,right,20,0,positive,0,test,-0.769230769,0.769230769,0,20,-0.769230769
20,male,plain,DG,17,231,human,female,,0,0,control,,control,,0,0,0,0
20,male,plain,DG,18,232,human,male,left,2,18,positive,0,test,-0.615384615,-0.615384615,2,18,-0.615384615
20,male,plain,DG,19,233,human,female,right,3,15,positive,1,test,0.48,-0.48,15,3,0.48
20,male,plain,DG,20,234,human,male,left,11,5,negative,1,test,0.24,0.24,5,11,-0.24
22,male,mirrored,HG,1,235,human,female,right,6,7,negative,1,test,0.04,-0.04,6,7,-0.04
22,male,mirrored,HG,2,236,human,male,right,9,5,positive,0,test,-0.16,0.16,5,9,-0.16
22,male,mirrored,HG,3,237,human,female,left,5,4,negative,1,test,0.055555556,0.055555556,4,5,-0.055555556
22,male,mirrored,HG,4,238,human,male,,13,11,control,,control,,0.08,13,11,0.08
22,male,mirrored,HG,5,239,human,male,left,2,3,positive,0,test,-0.0625,-0.0625,2,3,-0.0625
22,male,mirrored,HG,6,240,human,female,,1,7,control,,control,,-0.428571429,1,7,-0.428571429
22,male,mirrored,HG,8,241,human,female,right,0,16,positive,1,test,0.64,-0.64,16,0,0.64
22,male,mirrored,HG,9,242,human,female,left,0,10,positive,0,test,-0.769230769,-0.769230769,0,10,-0.769230769
22,male,mirrored,HG,12,244,dog,male,right,0,23,negative,1,test,0.884615385,-0.884615385,0,23,-0.884615385
22,male,mirrored,HG,13,245,dog,female,left,15,0,negative,1,test,0.652173913,0.652173913,0,15,-0.652173913
22,male,mirrored,HG,14,246,dog,male,,4,4,control,,control,,0,4,4,0
22,male,mirrored,HG,15,247,dog,female,,0,0,control,,control,,0,0,0,0
22,male,mirrored,HG,16,248,dog,male,left,0,10,positive,0,test,-0.4,-0.4,0,10,-0.4
22,male,mirrored,HG,17,249,dog,female,right,3,12,negative,1,test,0.5625,-0.5625,3,12,-0.5625
22,male,mirrored,HG,18,250,dog,male,right,0,15,positive,1,test,0.681818182,-0.681818182,15,0,0.681818182
22,male,mirrored,HG,19,251,dog,male,left,0,3,negative,0,test,-0.166666667,-0.166666667,3,0,0.166666667
22,male,mirrored,HG,20,252,dog,female,right,0,9,positive,1,test,0.692307692,-0.692307692,9,0,0.692307692
23,male,mirrored,HG,2,254,human,male,right,0,22,negative,1,test,0.846153846,-0.846153846,0,22,-0.846153846
23,male,mirrored,HG,4,256,human,female,right,4,16,positive,1,test,0.5,-0.5,16,4,0.5
23,male,mirrored,HG,5,257,human,male,right,23,1,positive,0,test,-0.916666667,0.916666667,1,23,-0.916666667
23,male,mirrored,HG,7,259,human,female,right,19,5,negative,0,test,-0.56,0.56,19,5,0.56
23,male,mirrored,HG,8,260,human,male,left,10,13,negative,0,test,-0.12,-0.12,13,10,0.12
23,male,mirrored,HG,10,261,human,female,,6,5,control,,control,,0.076923077,5,6,-0.076923077
23,male,mirrored,HG,11,262,dog,male,right,1,21,positive,1,test,0.909090909,-0.909090909,21,1,0.909090909
23,male,mirrored,HG,12,263,dog,female,,24,0,control,,control,,0.96,0,24,-0.96
23,male,mirrored,HG,13,264,dog,female,left,24,0,negative,1,test,0.96,0.96,0,24,-0.96
23,male,mirrored,HG,16,267,dog,female,right,2,20,negative,1,test,0.818181818,-0.818181818,2,20,-0.818181818
23,male,mirrored,HG,18,269,dog,female,right,4,18,positive,1,test,0.56,-0.56,18,4,0.56
23,male,mirrored,HG,19,270,dog,male,,7,3,control,,control,,0.4,3,7,-0.4
23,male,mirrored,HG,20,271,dog,female,left,13,6,positive,1,test,0.35,0.35,13,6,0.35
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
